Sex,Age,Height,Weight,Team,Sport,Event,Medal
1,19.0,176.0,76.0,143,3,41,1
0,19.0,169.0,58.0,27,0,7,0
1,22.0,175.0,69.0,162,22,278,0
1,28.0,188.0,86.0,102,25,300,1
0,24.0,159.0,42.0,135,3,88,1
0,23.0,166.0,55.0,376,52,518,1
0,27.0,169.0,70.0,278,35,355,1
0,29.0,170.0,70.0,200,9,128,0
1,20.0,176.0,52.0,395,33,334,1
1,26.0,185.0,80.0,162,33,333,1
0,16.0,160.0,48.0,254,22,295,0
1,27.0,195.0,90.0,143,6,108,1
1,26.0,198.0,94.0,336,33,333,1
1,23.0,197.0,89.0,200,19,261,1
0,31.0,169.0,66.0,156,16,239,1
1,23.0,168.0,75.0,143,0,0,0
1,32.0,183.0,83.0,156,11,148,1
0,25.0,169.0,70.0,287,44,478,1
0,17.0,173.0,65.0,429,44,473,1
1,23.0,185.0,80.0,271,43,434,0
1,31.0,175.0,72.0,278,14,206,0
0,26.0,188.0,74.0,24,33,352,1
1,32.0,189.0,88.0,310,23,296,1
1,27.0,182.0,80.0,156,43,434,0
1,28.0,181.0,74.0,380,3,26,0
1,30.0,178.0,75.0,327,23,296,1
1,21.0,176.0,58.0,242,3,59,0
0,20.0,184.0,77.0,41,33,351,0
1,23.0,183.0,80.0,156,43,434,0
1,24.0,172.0,62.0,315,3,34,0
1,22.0,172.0,62.0,156,3,32,0
1,25.0,162.0,50.0,122,33,334,1
1,21.0,178.0,98.0,143,34,353,1
1,25.0,187.0,82.0,371,23,296,1
0,20.0,166.0,70.0,156,44,482,1
1,25.0,182.0,68.0,310,3,34,1
1,27.0,175.0,82.0,73,11,152,0
1,21.0,181.0,80.0,376,14,210,1
0,22.0,166.0,55.0,205,44,477,1
1,29.0,176.0,68.0,254,16,242,0
1,23.0,165.0,51.0,205,40,417,1
1,22.0,184.0,80.0,27,37,387,0
1,25.0,185.0,72.0,205,3,63,0
0,21.0,172.0,73.0,156,43,443,1
1,25.0,172.0,71.0,162,36,368,0
1,29.0,180.0,74.0,446,3,42,0
1,22.0,186.0,93.0,457,53,519,1
1,30.0,188.0,86.0,310,52,517,0
1,24.0,190.0,85.0,429,44,462,1
1,30.0,176.0,80.0,310,25,300,0
0,15.0,167.0,57.0,122,44,483,1
1,24.0,172.0,60.0,254,37,398,0
1,30.0,190.0,82.0,164,48,509,0
1,23.0,180.0,82.0,429,6,108,1
0,29.0,160.0,57.0,429,38,411,0
1,27.0,185.0,72.0,446,3,41,1
1,30.0,176.0,73.0,376,16,242,1
1,28.0,173.0,94.0,371,54,530,0
1,28.0,180.0,75.0,395,12,172,0
0,25.0,174.0,70.0,156,11,166,1
1,21.0,160.0,60.0,327,22,275,0
1,23.0,163.0,75.0,143,54,531,0
0,23.0,164.0,63.0,200,38,412,1
0,28.0,167.0,57.0,97,47,502,0
1,29.0,173.0,68.0,365,11,152,0
0,17.0,178.0,67.0,24,44,480,0
1,22.0,182.0,73.0,134,31,326,0
1,27.0,196.0,89.0,429,44,457,1
1,22.0,178.0,57.0,261,55,544,0
0,28.0,160.0,55.0,41,8,123,0
1,28.0,186.0,79.0,24,24,298,1
0,31.0,168.0,50.0,358,3,97,0
0,25.0,168.0,75.0,376,3,98,1
1,28.0,183.0,78.0,205,23,296,0
1,23.0,182.0,68.0,242,24,298,0
1,27.0,200.0,100.0,200,33,339,1
1,25.0,188.0,75.0,48,3,59,0
1,25.0,153.0,52.0,99,55,547,0
0,19.0,177.0,65.0,212,44,481,0
0,26.0,173.0,63.0,56,26,313,0
1,31.0,180.0,79.0,73,24,298,0
1,33.0,179.0,89.0,395,13,193,1
1,27.0,183.0,70.0,197,33,340,0
1,37.0,179.0,78.0,304,36,368,0
1,24.0,173.0,72.0,380,14,196,0
0,23.0,159.0,63.0,83,54,540,1
1,23.0,192.0,80.0,446,3,31,0
1,23.0,180.0,75.0,156,11,152,1
1,23.0,176.0,66.0,185,17,244,0
1,25.0,188.0,88.0,429,53,519,1
1,23.0,183.0,74.0,376,17,245,0
0,32.0,168.0,57.0,395,13,194,0
